subject,software
Science,Blender
Science,Food Chain Simulator
Science,Python
Science,Unity
Science,Infinite Drum Machine
Science,Fusion 360
Science,Assemblr Edu
Science,Roller Coaster Tycoon 2
Science,Ansys 3D
Science,Arduino
Science,Mecabricks
Science,Tinkercad Circuits
Science,Autodesk CFD 2021
Social Studies,Google Arts and Culture
Social Studies,StoryMap JS
Social Studies,QGIS
Social Studies,CoSpaces
Social Studies,Piktochart
Social Studies,ChatterOn
Social Studies,SimCity
Social Studies,Assemblr Edu
Social Studies,ReadWriteThink Timeline Creator
Math,Mathigon
Math,Python
Math,GeoGebra
Math,Scratch
Math,Desmos
Math,Mecabricks
Math,Pencil Code
ELA,AI Dungeon
ELA,StoryMap JS
ELA,Scratch
ELA,Animaker
ELA,PictoBlox
ELA,ChatterOn
ELA,Piktochart
ELA,Flip
Subject Agnostic,Google AutoDraw
Subject Agnostic,Google Forms
Subject Agnostic,Google Maps
Subject Agnostic,Google Sheets
Subject Agnostic,Tinkercad Circuits
Subject Agnostic,ChatGPT
Subject Agnostic,MegaMinds
Subject Agnostic,Scratch
Subject Agnostic,MIT App Inventor
Subject Agnostic,Adobe Express
Subject Agnostic,Sketch.io
Subject Agnostic,Machine Learning for kids
Subject Agnostic,Genially
Subject Agnostic,Teachable Machine Google
Subject Agnostic,Canva
Subject Agnostic,Brush Ninja
Subject Agnostic,Jamboard
Subject Agnostic,Thinglink