tech_domain,software
App Development,MIT App Inventor
App Development,ChatterOn
App Development,Appy Builder
App Development,Code.org
App Development,Thunkable
Artificial Intelligence,MIT App Inventor
Artificial Intelligence,AI Dungeon
Artificial Intelligence,Teachable Machine - Google
Artificial Intelligence,ChatGPT
Artificial Intelligence,Thunkable
Artificial Intelligence,Google AutoDraw
Artificial Intelligence,Machine Learning for Kids
Artificial Intelligence,ChatterOn
Design & Simulation (2D Design),Jamboard
Design & Simulation (2D Design),Piktochart
Design & Simulation (2D Design),Genially
Design & Simulation (2D Design),Canva
Design & Simulation (2D Design),Food Chain Simulator
Design & Simulation (2D Design),Sketch.io
Design & Simulation (2D Design),Adobe Express
Design & Simulation (2D Design),StoryMap JS
Design & Simulation (2D Design),ReadWriteThink Timeline Creator
Design & Simulation (2D Design),Brush Ninja
Design & Simulation (2D Design),StoryBoardThat
Design & Simulation (2D Design),Thinglink
Design & Simulation (3D Design),TinkerCAD
Design & Simulation (3D Design),Fusion 360
Design & Simulation (3D Design),YAHAHA
Design & Simulation (3D Design),CoSpaces
Design & Simulation (3D Design),Unity
Design & Simulation (3D Design),Blender
Design & Simulation (3D Design),Roller coaster Tycoon 2
Design & Simulation (3D Design),Mathigon
Design & Simulation (3D Design),CoSpaces
Design & Simulation (3D Design),Autodesk CFD 2021
Design & Simulation (3D Design),Mecabricks
Design & Simulation (3D Design),Assemblr Edu
Design & Simulation (3D Design),Sketchup
Programming and Coding,Scratch
Programming and Coding,Pencil Code
Programming and Coding,Unity
Programming and Coding,Python
Programming and Coding,Arduino
Programming and Coding,PictoBlox
Programming and Coding,Tinkercad Circuits
Programming and Coding,Webots
Programming and Coding,Code.org
Multimedia and Animation,SimCity
Multimedia and Animation,Animaker
Multimedia and Animation,Infinite Drum Machine
Multimedia and Animation,Sony Vegas
Multimedia and Animation,Google Arts and Culture
Multimedia and Animation,Google Sheets
Multimedia and Animation,Stopomtion studio
Multimedia and Animation,Brush Ninja
Extended Reality,Google Arts and Culture
Extended Reality,MegaMinds
Extended Reality,Flip
Extended Reality,ZapWorks
Extended Reality,Minecraft Education Edition
Extended Reality,Google Maps
Extended Reality,Roblox Studio